Column,Attribute,attributeOf,Entity,Unit,Time,Relation,inRelationTo,Label,Role,Value,wasDerivedFrom,wasGeneratedBy
id_case,hasco:originalID,??case,,schema:Interger,,,,,,,,
document,ontriscal:TherapeuticCase,??psychotherapy,,schema:String,,,,,,,,
Source,ontriscal:MedicalRecord,??psychotherapy,,schema:Interger,,,,,,,,
id_user,ontriscal:HealthProfessional,??psychotherapy,,schema:Interger,,,,,,,,
User,ontriscal:FullName,??psychotherapy,,schema:String,,,,,,,,
id_project,ontriscal:Treatment,??psychotherapy,,schema:String,,,,,,,,
Project,ontriscal:FullName,??psychotherapy,,schema:String,,,,,,,,
Fear,ontriscal:EmotionalAspect,??caseconceptualization,,schema:String,,,,,,,,
FearOfLosingControl,ontriscal:EmotionalAspect,??caseconceptualization,,schema:String,,,,,,,,
FearOfNegativeEvaluationByOthers,ontriscal:CognitiveAspect,??caseconceptualization,,schema:String,,,,,,,,
Frustration,ontriscal:EmotionalAspect,??caseconceptualization,,schema:String,,,,,,,,
Generalization,ontriscal:CognitiveAspect,??caseconceptualization,,schema:String,,,,,,,,
MaximizationOfTheNegative,ontriscal:Thinking,??caseconceptualization,,schema:String,,,,,,,,
MinimizationOfThePositive,ontriscal:Thinking,??caseconceptualization,,schema:String,,,,,,,,
ObjectPhobic,CognitiveAspect,??caseconceptualization,,schema:String,,,,,,,,
Perfectionism,ontriscal:Thinking,??caseconceptualization,,schema:String,,,,,,,,
PredictionOfTheFuture,ontriscal:CognitiveAspect,??caseconceptualization,,schema:String,,,,,,,,
RuminantThoughts,ontriscal:CognitiveAspect,??caseconceptualization,,schema:String,,,,,,,,
SelfAwareness,ontriscal:CognitiveAspect,??caseconceptualization,,schema:String,,,,,,,,
Suppositions,ontriscal:CognitiveAspect,??caseconceptualization,,schema:String,,,,,,,,
Catastrophizing,ontriscal:CognitiveAspect,??caseconceptualization,,schema:String,,,,,,,,
CognitiveAspect,ontriscal:CognitiveAspect,??caseconceptualization,,schema:String,,,,,,,,
CognitiveDistortion,ontriscal:CognitiveAspect,??caseconceptualization,,schema:String,,,,,,,,
CognitiveRestructuring,ontriscal:CognitiveAspect,??caseconceptualization,,schema:String,,,,,,,,
CognitiveSymptoms,ontriscal:CognitiveAspect,??caseconceptualization,,schema:String,,,,,,,,
Devaluation,ontriscal:CognitiveAspect,??caseconceptualization,,schema:String,,,,,,,,
DifficultyOfReasoning,ontriscal:CognitiveAspect,??caseconceptualization,,schema:String,,,,,,,,
AvoidanceOfThreateningSignsOrSituations,ontriscal:BehaviorAspects,??caseconceptualization,,schema:String,,,,,,,,
BehaviorAspects,ontriscal:BehaviorAspects,??caseconceptualization,,schema:String,,,,,,,,
BehaviorSymptoms,ontriscal:BehaviorAspects,??caseconceptualization,,schema:String,,,,,,,,
ContextualAspect,ontriscal:ContextualAspect,??caseconceptualization,,schema:String,,,,,,,,
ManifestComplaint,ontriscal:ContextualAspect,??caseconceptualization,,schema:String,,,,,,,,
EmotionalAspects,ontriscal:EmotionalAspect,??caseconceptualization,,schema:String,,,,,,,,
EmotionalReasoning,ontriscal:EmotionalAspect,??caseconceptualization,,schema:String,,,,,,,,
EmotionalSymptoms,ontriscal:EmotionalAspect,??caseconceptualization,,schema:String,,,,,,,,
Sadness,ontriscal:EmotionalAspect,??caseconceptualization,,schema:String,,,,,,,,
CoreBelief,ontriscal:CoreBelief,??caseconceptualization,,schema:String,,,,,,,,
IntermediateBelief,ontriscal:IntermediateBelief,??caseconceptualization,,schema:String,,,,,,,,
ProblemSolving,ontriscal:CopingStrategies,??caseconceptualization,,schema:String,,,,,,,,
NumberOfSessions,ontriscal:StructureOfTreatmentProcess,??caseconceptualization,,schema:String,,,,,,,,
PatientHistory,ontriscal:StructureOfTreatmentProcess,??caseconceptualization,,schema:String,,,,,,,,
ProcessDuration,ontriscal:StructureOfTreatmentProcess,??caseconceptualization,,schema:String,,,,,,,,
SessionDuration,ontriscal:StructureOfTreatmentProcess,??caseconceptualization,,schema:String,,,,,,,,
TherapeuticGoals,ontriscal:StructureOfTreatmentProcess,??caseconceptualization,,schema:String,,,,,,,,
Psychopathology,ontriscal:ClinicalHypothesis,??caseconceptualization,,schema:String,,,,,,,,
Anxiety,ontriscal:PhysiologicalSymptoms,??caseconceptualization,,schema:String,,,,,,,,
IncreasedHeartRate,ontriscal:PhysiologicalSymptoms,??caseconceptualization,,schema:String,,,,,,,,
LossOfSpatialPerception,ontriscal:PhysiologicalSymptoms,??caseconceptualization,,schema:String,,,,,,,,
MuscularTension,ontriscal:PhysiologicalSymptoms,??caseconceptualization,,schema:String,,,,,,,,
Nervous,ontriscal:PhysiologicalSymptoms,??caseconceptualization,,schema:String,,,,,,,,
PhysiologicalSymptoms,ontriscal:PhysiologicalSymptoms,??caseconceptualization,,schema:String,,,,,,,,
ShortnessOfBreath,ontriscal:PhysiologicalSymptoms,??caseconceptualization,,schema:String,,,,,,,,
Sweating,ontriscal:PhysiologicalSymptoms,??caseconceptualization,,schema:String,,,,,,,,
Tremor,ontriscal:PhysiologicalSymptoms,??caseconceptualization,,schema:String,,,,,,,,
ClinicalStrategies,ontriscal:Treatment,??caseconceptualization,,schema:String,,,,,,,,
CopingStrategies,ontriscal:Treatment,??caseconceptualization,,schema:String,,,,,,,,
CopingWithStress,ontriscal:Treatment,??caseconceptualization,,schema:String,,,,,,,,
Desensitization,ontriscal:Treatment,??caseconceptualization,,schema:String,,,,,,,,
EvidenceAnalysis,ontriscal:Treatment,??caseconceptualization,,schema:String,,,,,,,,
ExposureTechniques,ontriscal:Treatment,??caseconceptualization,,schema:String,,,,,,,,
Psychoeducation,ontriscal:Treatment,??caseconceptualization,,schema:String,,,,,,,,
RecordingDysfunctionalThoughts,ontriscal:Treatment,??caseconceptualization,,schema:String,,,,,,,,
RelaxationTechniques.,ontriscal:Treatment,??caseconceptualization,,schema:String,,,,,,,,
Self-Instruction,ontriscal:Treatment,??caseconceptualization,,schema:String,,,,,,,,
SocraticQuestioning,ontriscal:Treatment,??caseconceptualization,,schema:String,,,,,,,,
SystematicDesensitization,ontriscal:Treatment,??caseconceptualization,,schema:String,,,,,,,,
ThoughtStop,ontriscal:Treatment,??caseconceptualization,,schema:String,,,,,,,,
Thought-stoppingAndSelf-instruction,ontriscal:Treatment,??caseconceptualization,,schema:String,,,,,,,,
??case,,,sio:Human,,,ontriscal:isComprehendedBy,??caseconceptualization,,,,,
??caseconceptualization,,,ontriscal:CaseConceptualization,,,ontriscal:definesCognitiveModelOf,??case,,,,,
??symptomanxiety,,,ontriscal:PhysiologicalSymptoms,,,ontriscal:symptomIsAssociatedWith,??caseconceptualization,,,,,
??emotion,,,ontriscal:Emotion,,,ontriscal:emotionIsAssociatedWith,??caseconceptualization,,,,,
??psychotherapy,,,ontriscal:Psychotherapy,,,ontriscal:treats,??case,,,,,
??caseconceptualization,,,ontriscal:CaseConceptualization,,,ontriscal:isTechinqueOf,??psychotherapy,,,,,